userid,user,pageid,revid,parentid,ns,title,timestamp,top,comment,size,new,minor,texthidden,suppressed,commenthidden
717938,Braveheidi,181908,212896741,211310394,0,Ordre militaire,2024-02-29T00:46:24Z,,/* Prusse orientale */,41584,,,,,
717938,Braveheidi,10651033,212894993,212894959,0,Mike Penner,2024-02-28T23:02:30Z,,/* Liens externes */ pas de raison particulière de mettre cet article en avant ; par contre j'ai repris cette référence pour sourcer du contenu,7952,,,,,
717938,Braveheidi,10651033,212894959,212894754,0,Mike Penner,2024-02-28T23:01:11Z,,/* Transidentité */ ajout contenu,8044,,,,,
717938,Braveheidi,10651033,212894754,212894718,0,Mike Penner,2024-02-28T22:52:10Z,,"/* Liens externes */ c'est Mike Penner lui-même qui a rendu ce blog invisible ; par respect pour sa vie privée, je propose de respecter ce souhait ;",7606,,,,,
717938,Braveheidi,10651033,212894718,212894687,0,Mike Penner,2024-02-28T22:50:31Z,,/* Articles connexes */ détransition,7867,,,,,
717938,Braveheidi,10651033,212894687,212894438,0,Mike Penner,2024-02-28T22:49:03Z,,/* Transidentité */ contenu,7847,,,,,
717938,Braveheidi,10651034,212894528,206779329,1,Discussion:Mike Penner,2024-02-28T22:42:41Z,,/* Article Steve Friess */ nouvelle section,564,,,,,
717938,Braveheidi,10651033,212894438,212894136,0,Mike Penner,2024-02-28T22:38:38Z,,/* Transidentité */ ajout deuxième source,7712,,,,,
717938,Braveheidi,10651033,212894136,212894069,0,Mike Penner,2024-02-28T22:26:49Z,,/* Vie personnelle */,7404,,,,,
717938,Braveheidi,10651033,212894069,212893956,0,Mike Penner,2024-02-28T22:23:48Z,,/* Transidentité */ ajout contenu,7244,,,,,
717938,Braveheidi,10651033,212893956,212756778,0,Mike Penner,2024-02-28T22:20:06Z,,"/* Vie personnelle */ ma formulation ""a une vie parallèle où il se travestit en femme"" n'est pas des plus heureuses ; crossdressing en français ? /résumé de la situation : régulièrement il s'habille en femme, a des amis trans et toute une vie sociale là autour, ce que sa femme n'ignore pas ; mais il s'habille en homme dans tout le reste de sa vie sociale (jusqu'à ce qu'il annonce publiquement sa transidentité à son employeur).",7127,,,,,
717938,Braveheidi,16160120,212892483,212882067,0,Coup d'État de 1969 en Bolivie,2024-02-28T21:22:11Z,,/* Présidence de Siles Salinas */ syntaxe (légère) neutralisation + concordance des temps // attention : on utilise le présent de narration. Contenu informationnel inchangé,12368,,,,,
717938,Braveheidi,11201251,212892154,212891763,1,Discussion:Thérèse Hargot,2024-02-28T21:09:37Z,,/* Buzz surdéveloppé */ Réponse,12018,,,,,
717938,Braveheidi,434969,212891702,212891623,0,Siemovit de Dobrzyń,2024-02-28T20:49:53Z,,"/* Biographie */ à en croire l'article sur Ladislas 1er, c'est de ce Vencelsas dont il s'agit",6763,,,,,
717938,Braveheidi,434969,212891623,212889968,0,Siemovit de Dobrzyń,2024-02-28T20:45:29Z,,/* Biographie */ ajout lien,6729,,,,,
717938,Braveheidi,74488,212891557,212891484,0,Ordre Teutonique,2024-02-28T20:42:43Z,,"/* La fin de la présence en Terre sainte (1291) */ A réécrire de manière neutre, suppression de TI non sourcé et de nature hagiographique",50878,,,,,
717938,Braveheidi,74488,212891484,212891287,0,Ordre Teutonique,2024-02-28T20:38:46Z,,/* La fin de la présence en Terre sainte (1291) */ suppression jugement de valeur,51255,,,,,
717938,Braveheidi,74488,212891287,212890435,0,Ordre Teutonique,2024-02-28T20:29:29Z,,/* La transformation en ordre militaire (1198-1220) */ contenu,51264,,,,,
717938,Braveheidi,74488,212890435,212890403,0,Ordre Teutonique,2024-02-28T19:47:37Z,,/* L'ordre rétabli (depuis 1929) */ quand `?,50671,,,,,
717938,Braveheidi,74488,212890403,212890384,0,Ordre Teutonique,2024-02-28T19:46:28Z,,"/* L'ordre rétabli (depuis 1929) */ une citation sans source et non neutre, ça le fait pas.",50663,,,,,
717938,Braveheidi,74488,212890384,212023837,0,Ordre Teutonique,2024-02-28T19:45:32Z,,"/* L'ordre rétabli (depuis 1929) */ cette information est totalement absente de la version allemande de cet article, qui est un article beaucoup plus détaillé que celui-ci. Donc....à l'absence de sources...",51155,,,,,
717938,Braveheidi,434969,212889968,212889847,0,Siemovit de Dobrzyń,2024-02-28T19:29:31Z,,/* Biographie */ tentative de limiter les assertions (dans un article sans aucune source) aux trucs les plus faciles à sourcer et le plus neutre possible.,6701,,,,,
717938,Braveheidi,434969,212889847,210312569,0,Siemovit de Dobrzyń,2024-02-28T19:24:51Z,,,6952,,,,,
717938,Braveheidi,9857418,212889583,212889572,0,Thérèse Hargot,2024-02-28T19:12:50Z,,/* Réactions */,20940,,,,,
717938,Braveheidi,9857418,212889572,212889313,0,Thérèse Hargot,2024-02-28T19:12:18Z,,/* Réactions */ ajout source (et contenu ? je sais plus),20935,,,,,
717938,Braveheidi,9857418,212889313,212889164,0,Thérèse Hargot,2024-02-28T18:57:53Z,,"/* Féminisme */ Dans la source suivante : https://www.lesinrocks.com/actu/th%C3%A9r%C3%A8se-hargot-le-nouveau-visage-du-puritanisme-qui-sattaque-%C3%A0-la-sexualit%C3%A9-des-jeunes-74306-02-03-2016/   ; il est explicité qu'elle refuse de se faire qualifier de ""féministe différentialiste"" //// Je pense qu'elle a tort et que son féminisme relève bien de ce courant, mais on ne peut pas avoir une phrase qu dit qu'elle se décrit comme telle quand on a une source qui dit le contraire.",20679,,,,,
717938,Braveheidi,9857418,212889164,212888981,0,Thérèse Hargot,2024-02-28T18:50:48Z,,/* Féminisme */ ajout d'une source,20744,,,,,
717938,Braveheidi,11201251,212889079,212889066,1,Discussion:Thérèse Hargot,2024-02-28T18:47:01Z,,/* Catholicisme traditionnaliste ? */,8580,,,,,
717938,Braveheidi,11201251,212889066,212887681,1,Discussion:Thérèse Hargot,2024-02-28T18:46:33Z,,/* Catholicisme traditionnaliste ? */ nouvelle section,8548,,,,,
717938,Braveheidi,9857418,212888981,212888937,0,Thérèse Hargot,2024-02-28T18:43:20Z,,/* Publications */,20422,,,,,
717938,Braveheidi,9857418,212888937,212888852,0,Thérèse Hargot,2024-02-28T18:41:21Z,,/* Prises de position */ j'ai mis des sous-sections,20426,,,,,
717938,Braveheidi,9857418,212888852,212888825,0,Thérèse Hargot,2024-02-28T18:38:17Z,,/* Prises de position */,20361,,,,,
717938,Braveheidi,9857418,212888825,212888729,0,Thérèse Hargot,2024-02-28T18:37:41Z,,/* Prises de position */ ajout d'une troisième source ; ça fait beaucoup mais comme ça on a aussi des sources qui sont en accès libre.,20356,,,,,
717938,Braveheidi,9857418,212888729,212888345,0,Thérèse Hargot,2024-02-28T18:34:16Z,,/* Prises de position */ ajout de contenu et correction (on disait qu'elle parlait de la pornographie depuis 2024 en sourçant avec un article datant de 2020)...,20047,,,,,
717938,Braveheidi,9857418,212888345,212888167,0,Thérèse Hargot,2024-02-28T18:22:49Z,,/* Publications */ ajout de son dernier livre,19153,,,,,
717938,Braveheidi,9857418,212888167,212888043,0,Thérèse Hargot,2024-02-28T18:18:37Z,,/* Publications */ il s'agit du même livre (traduit en italien et allemand) : pourquoi mettre ces traductions ?,18841,,,,,
717938,Braveheidi,9857418,212888043,212886374,0,Thérèse Hargot,2024-02-28T18:14:03Z,,/* Réactions */ neutralisation du ton (contenu et source - je suis allée lire l'article) inchangé.,19051,,,,,
717938,Braveheidi,11201251,212887681,212885695,1,Discussion:Thérèse Hargot,2024-02-28T18:00:54Z,,/* Buzz surdéveloppé */ Réponse,8211,,,,,
717938,Braveheidi,9857418,212886374,212886299,0,Thérèse Hargot,2024-02-28T17:14:52Z,,/* Prises de position */ regroupement de ce qui concerne la contraception,19020,,,,,
717938,Braveheidi,9857418,212886299,212886273,0,Thérèse Hargot,2024-02-28T17:11:27Z,,/* Prises de position */ TI non sourcé,19068,,,,,
717938,Braveheidi,9857418,212886273,212886249,0,Thérèse Hargot,2024-02-28T17:10:25Z,,/* Réactions */ plus neutre // il n'y a pas de lien de nécessité,19286,,,,,
717938,Braveheidi,9857418,212886249,212886106,0,Thérèse Hargot,2024-02-28T17:09:03Z,,ce lien causal est établie par Thérèse Hargot. C'est son point de vue à elle. A réécrire peut-être autrement mais en ne faisant pas de son opinion relative à la pornographie un fait.,19308,,,,,
717938,Braveheidi,9857418,212886106,212874629,0,Thérèse Hargot,2024-02-28T17:03:03Z,,/* Polémiques */,19305,,,,,
717938,Braveheidi,11880311,212885874,212885538,0,Waghoba,2024-02-28T16:52:35Z,,/* Culte */ je sais plus,6801,,,,,
717938,Braveheidi,11880311,212885538,212885281,0,Waghoba,2024-02-28T16:39:35Z,,/* Culte */ seconde source,6796,,,,,
717938,Braveheidi,11880311,212885281,212885018,0,Waghoba,2024-02-28T16:30:16Z,,/* Culte */ ajout information sourcée,6452,,,,,
717938,Braveheidi,11880311,212885018,212884872,0,Waghoba,2024-02-28T16:20:41Z,,/* Bibliographie */,5976,,,,,
717938,Braveheidi,11880311,212884872,212884852,0,Waghoba,2024-02-28T16:15:11Z,,/* Bibliographie */ ajout langue,5950,,,,,
717938,Braveheidi,11880311,212884852,212884207,0,Waghoba,2024-02-28T16:14:35Z,,ajout étude sur culte de Waghoba et ses effets en termes de cohabitation avec les léopards,5940,,,,,
717938,Braveheidi,16146508,212866669,212866372,5,Discussion Wikipédia:Sondage/Seuil de participation aux consultations communautaires,2024-02-27T23:15:04Z,,/* Seuil de participation requis pour exprimer son avis dans les sondages et processus décisionnels */ nouvelle section,52032,,,,,
717938,Braveheidi,16146508,212866372,212865895,5,Discussion Wikipédia:Sondage/Seuil de participation aux consultations communautaires,2024-02-27T23:02:57Z,,/* Nombre de pages modifiées */ Réponse,51406,,,,,
717938,Braveheidi,16146508,212865599,212865485,5,Discussion Wikipédia:Sondage/Seuil de participation aux consultations communautaires,2024-02-27T22:33:56Z,,/* Motivation du sondage */ Réponse,49958,,,,,
717938,Braveheidi,16146508,212865305,212851004,5,Discussion Wikipédia:Sondage/Seuil de participation aux consultations communautaires,2024-02-27T22:22:57Z,,/* Nombre de pages modifiées */ Réponse,48887,,,,,
717938,Braveheidi,11198768,212828540,212828514,0,Camps de concentration britanniques en Afrique du Sud,2024-02-26T16:48:43Z,,/* Fièvre typhoïde */ c'est pas fini fini mais il y a déjà pas mal d'éléments,52870,,,,,
717938,Braveheidi,11198768,212828514,212827677,0,Camps de concentration britanniques en Afrique du Sud,2024-02-26T16:48:03Z,,/* Fièvre typhoïde */,52878,,,,,
717938,Braveheidi,11198768,212827677,212827628,0,Camps de concentration britanniques en Afrique du Sud,2024-02-26T16:18:30Z,,/* Fièvre typhoïde */ code amélioré (enfin j'espère),52861,,,,,
717938,Braveheidi,11198768,212827628,212827569,0,Camps de concentration britanniques en Afrique du Sud,2024-02-26T16:17:22Z,,/* Fièvre typhoïde */ ajout réf précise,52865,,,,,
717938,Braveheidi,11198768,212827569,212827466,0,Camps de concentration britanniques en Afrique du Sud,2024-02-26T16:15:29Z,,/* Fièvre typhoïde */ ajout contenu,52611,,,,,
717938,Braveheidi,11198768,212827466,212827404,0,Camps de concentration britanniques en Afrique du Sud,2024-02-26T16:12:03Z,,/* Fièvre typhoïde */ source + précision,52423,,,,,
717938,Braveheidi,11198768,212827404,212827265,0,Camps de concentration britanniques en Afrique du Sud,2024-02-26T16:09:58Z,,/* Fièvre typhoïde */ idem,52257,,,,,
717938,Braveheidi,11198768,212827265,212826922,0,Camps de concentration britanniques en Afrique du Sud,2024-02-26T16:04:07Z,,"/* Fièvre typhoïde */ contenu, source suit",51819,,,,,
717938,Braveheidi,4193545,212827253,212812346,0,Arthur Conan Doyle,2024-02-26T16:03:38Z,,/* Débuts et formation */,56728,,,,,
717938,Braveheidi,11198768,212826922,212825906,0,Camps de concentration britanniques en Afrique du Sud,2024-02-26T15:53:53Z,,/* Fièvre typhoïde */ ajout contenu et source,51626,,,,,
717938,Braveheidi,11198768,212825906,212529627,0,Camps de concentration britanniques en Afrique du Sud,2024-02-26T15:17:34Z,,/* Fièvre typhoïde */ ajout sources,49972,,,,,
717938,Braveheidi,16120465,212799421,212799141,1,Discussion:Racines chrétiennes de la France,2024-02-25T18:01:48Z,,/* Reprise (bis) */ Réponse,35390,,,,,
717938,Braveheidi,16111793,212799143,212798930,4,Wikipédia:Le Bistro/25 février 2024,2024-02-25T17:55:41Z,,/* graduation des peines et durabilité de wikipédia */ Réponse,94740,,,,,
717938,Braveheidi,16111793,212798537,212798522,4,Wikipédia:Le Bistro/25 février 2024,2024-02-25T17:40:16Z,,/* @lecoindeslgbt appelle à participer au sondage sur les morinoms */ Réponse,93079,,,,,
717938,Braveheidi,4193545,212794447,212794372,0,Arthur Conan Doyle,2024-02-25T15:28:42Z,,/* Débuts et formation */Oups,56766,,,,,
717938,Braveheidi,4193545,212794372,212794299,0,Arthur Conan Doyle,2024-02-25T15:26:44Z,,/* Débuts et formation */Erreur ds code,56767,,,,,
717938,Braveheidi,4193545,212794299,212177141,0,Arthur Conan Doyle,2024-02-25T15:24:14Z,,/* Débuts et formation */Ajout de contenu sourcé et erreur rectifiée : c'est bien dans un hôpital civil qu'il a servi. La source qui indiquait le contraire est un site web et non une publication scientifique.,56767,,,,,
717938,Braveheidi,5908952,212793442,212792682,0,Le Soldat blanchi,2024-02-25T14:56:02Z,,/* Seconde guerre des Boers */Ajout source,8704,,,,,
717938,Braveheidi,5908952,212792682,212792211,0,Le Soldat blanchi,2024-02-25T14:37:38Z,,/* Allusions à d'autres enquêtes */Ajout contenu,8452,,,,,
717938,Braveheidi,5908952,212792211,195594598,0,Le Soldat blanchi,2024-02-25T14:26:32Z,,/* Articles connexes */Ajout article connexe pertinent,8084,,,,,
717938,Braveheidi,16111793,212790311,212789848,4,Wikipédia:Le Bistro/25 février 2024,2024-02-25T13:35:07Z,,/* graduation des peines et durabilité de wikipédia */ Réponse,62438,,,,,
717938,Braveheidi,16111793,212788738,212788680,4,Wikipédia:Le Bistro/25 février 2024,2024-02-25T12:29:24Z,,/* graduation des peines et durabilité de wikipédia */ Réponse,47237,,,,,
717938,Braveheidi,16111793,212788176,212787842,4,Wikipédia:Le Bistro/25 février 2024,2024-02-25T12:08:02Z,,/* @lecoindeslgbt appelle à participer au sondage sur les morinoms */ Réponse,45692,,,,,
717938,Braveheidi,15558533,212777552,212706471,1,Discussion:Obésité féline,2024-02-24T23:30:41Z,,/* Appétence moyenne */ Réponse,1967,,,,,
717938,Braveheidi,7353042,212777328,212777221,0,Florence Porcel,2024-02-24T23:18:36Z,,/* Plaintes contre Patrick Poivre d'Arvor */ seconde source,30051,,,,,
717938,Braveheidi,7353042,212777221,212777062,0,Florence Porcel,2024-02-24T23:13:39Z,,/* Plaintes contre Patrick Poivre d'Arvor */ ajout info sourcée,29648,,,,,
717938,Braveheidi,7353042,212777062,212776880,0,Florence Porcel,2024-02-24T23:06:05Z,,/* Plaintes contre Patrick Poivre d'Arvor */ précision et source,29113,,,,,
717938,Braveheidi,7353042,212776880,210850591,0,Florence Porcel,2024-02-24T22:57:24Z,,/* Plaintes contre Patrick Poivre d'Arvor */ précision (en fonction de la date indiquée dans la source),28687,,,,,
717938,Braveheidi,16144828,212776575,212776487,4,Wikipédia:Administrateur/LD (confirmation),2024-02-24T22:45:22Z,,/* Approbations (maintien du statut) */,62354,,,,,
717938,Braveheidi,16144828,212776487,212775899,4,Wikipédia:Administrateur/LD (confirmation),2024-02-24T22:42:02Z,,/* Approbations (maintien du statut) */,62262,,,,,
717938,Braveheidi,14628326,212756911,212756623,0,RuPaul's Drag Race: UK vs The World,2024-02-24T09:48:52Z,,Correction erreur?,13310,,,,,
717938,Braveheidi,12405152,212753659,212753624,0,Katarisme,2024-02-24T05:39:23Z,,"Gros manque de sources et notamment de sources neutres ( pas écrites par des membres du mouvement donc, ou alors en précisant le lien entre les 2)",13152,,,,,
717938,Braveheidi,12405152,212753624,212753553,0,Katarisme,2024-02-24T05:31:42Z,,/* Étymologie */Neutralisation. Sans doute à réécrire. Mais une description d'un mouvement politique ne peut pas faire comme si tous les Boliviens indigènes se reconnaissaient nécessairement dans ce mouvement.,13118,,,,,
717938,Braveheidi,12405152,212753553,212753536,0,Katarisme,2024-02-24T05:23:49Z,,N'a pas sa place dans le RI. Éventuellement à remettre dans une section ad hoc.,13119,,,,,
717938,Braveheidi,12405152,212753536,205670430,0,Katarisme,2024-02-24T05:22:13Z,,Réécriture plus neutre,13346,,,,,
717938,Braveheidi,600612,212753289,205561978,0,Felipe Quispe,2024-02-24T04:52:03Z,,/* Biographie */Ajout determinant + petite précision (contenu informationnel inchangé),4634,,,,,
717938,Braveheidi,13242020,212753254,212753233,0,Centrale ouvrière bolivienne,2024-02-24T04:47:31Z,,Le syndicat existe depuis 1952: aurait-il conservé le même nombre d'adhérents tout au long de son histoire?,2935,,,,,
717938,Braveheidi,13242020,212753233,207232110,0,Centrale ouvrière bolivienne,2024-02-24T04:45:48Z,,L'article en espagnol est nettement plus développé,2925,,,,,
717938,Braveheidi,16160120,212753164,212753158,0,Coup d'État de 1969 en Bolivie,2024-02-24T04:35:46Z,,/* Présidence de Siles Salinas */Demande de précision ; la formulation n'est pas clair: en quoi le fait qu'un pouvoir soit civil limiterait son indépendance ?,9335,,,,,
717938,Braveheidi,16160120,212753158,212753151,0,Coup d'État de 1969 en Bolivie,2024-02-24T04:31:56Z,,/* Coup d'État */Syntaxe,9320,,,,,
717938,Braveheidi,16160120,212753151,212752945,0,Coup d'État de 1969 en Bolivie,2024-02-24T04:29:52Z,,/* Coup d'État */syntaxe,9320,,,,,
717938,Braveheidi,795816,212753053,212753043,0,Éléonore Bernheim,2024-02-24T04:20:23Z,,"L'article n'est plus vraiment au stade d'ébauche, même s'il pourrait être davantage sourcé",8240,,,,,
717938,Braveheidi,7759393,212705169,206782153,0,Université du Nigeria,2024-02-22T17:14:24Z,,/* Histoire */Refnec en raison du caractère potentiellement publicitaire de cette assertion,6524,,,,,
717938,Braveheidi,16120465,212703338,212703185,1,Discussion:Racines chrétiennes de la France,2024-02-22T16:12:31Z,,/* Proposition pour reprise de l'article */ Réponse,32752,,,,,
717938,Braveheidi,16120465,212703185,212703014,1,Discussion:Racines chrétiennes de la France,2024-02-22T16:06:24Z,,/* Neutralité de la page */ Réponse,32041,,,,,
717938,Braveheidi,16120465,212703014,212701850,1,Discussion:Racines chrétiennes de la France,2024-02-22T15:59:05Z,,/* Proposition pour reprise de l'article */ Réponse,31270,,,,,
717938,Braveheidi,15558533,212700766,204663790,1,Discussion:Obésité féline,2024-02-22T14:39:06Z,,/* Appétence moyenne */ nouvelle section,1152,,,,,
717938,Braveheidi,16057642,212700353,212696017,5,Discussion Wikipédia:Contestation du statut d'administrateur/.Anja.,2024-02-22T14:25:07Z,,/* Atteinte du nombre de contestations */ Réponse,1829,,,,,
717938,Braveheidi,15892056,212700286,212682768,1,Discussion:Salon international de l'automobile de Genève 2024,2024-02-22T14:22:43Z,,/* Pourquoi faire une section de présentation avec Renault? */ nouvelle section,1123,,,,,
717938,Braveheidi,16111789,212698900,212698839,4,Wikipédia:Le Bistro/22 février 2024,2024-02-22T13:36:47Z,,/* Encadrer les activités des associations sur WP */ Réponse,32773,,,,,
717938,Braveheidi,16111789,212698839,212698804,4,Wikipédia:Le Bistro/22 février 2024,2024-02-22T13:34:04Z,,/* Encadrer les activités des associations sur WP */,32388,,,,,
717938,Braveheidi,7554684,212682979,174490128,3,Discussion utilisateur:REGA,2024-02-21T22:02:33Z,,"/* Bandeau promotionnel sur ""Salon de l'auto"" 2024 */ nouvelle section",4602,,,,,
717938,Braveheidi,15892056,212682768,212682704,1,Discussion:Salon international de l'automobile de Genève 2024,2024-02-21T21:56:52Z,,/* 29 exposants */ nouvelle section,654,,,,,
717938,Braveheidi,15892056,212682704,212233143,1,Discussion:Salon international de l'automobile de Genève 2024,2024-02-21T21:55:00Z,,/* La 90ème ou la 100ème édition? */ nouvelle section,404,,,,,
717938,Braveheidi,15890354,212682648,212682620,0,Salon international de l'automobile de Genève 2024,2024-02-21T21:53:30Z,,"Au vu des modifications que j'ai apportées, il me semble que ce bandeau peut être enlevé",6655,,,,,
717938,Braveheidi,15890354,212682620,212682604,0,Salon international de l'automobile de Genève 2024,2024-02-21T21:52:34Z,,/* Exposants */ virgule entre refs,6691,,,,,
717938,Braveheidi,15890354,212682604,212682302,0,Salon international de l'automobile de Genève 2024,2024-02-21T21:51:52Z,,ajout info sourcée,6687,,,,,
717938,Braveheidi,15890354,212682302,212682192,0,Salon international de l'automobile de Genève 2024,2024-02-21T21:42:01Z,,/* Nouveautés */ ajout d'une source,5791,,,,,
717938,Braveheidi,15890354,212682192,212682156,0,Salon international de l'automobile de Genève 2024,2024-02-21T21:38:37Z,,/* Exposants */ virgule entre refs,5450,,,,,
717938,Braveheidi,15890354,212682156,212682124,0,Salon international de l'automobile de Genève 2024,2024-02-21T21:37:37Z,,/* Exposants */ deuxième source,5441,,,,,
717938,Braveheidi,15890354,212682124,212682000,0,Salon international de l'automobile de Genève 2024,2024-02-21T21:36:42Z,,/* Exposants */ ajout d'une deuxième source et précision sur nombre d'exposants en 2019 (selon cette deuxième source),5414,,,,,
717938,Braveheidi,15890354,212682000,212681916,0,Salon international de l'automobile de Genève 2024,2024-02-21T21:32:52Z,,/* Concept cars */ à remettre si du contenu est disponible,5059,,,,,
717938,Braveheidi,15890354,212681916,212681599,0,Salon international de l'automobile de Genève 2024,2024-02-21T21:30:47Z,,/* Exposants */ ajout information sourcée,5081,,,,,
717938,Braveheidi,15890354,212681599,212681567,0,Salon international de l'automobile de Genève 2024,2024-02-21T21:20:47Z,,/* Exposants */ ajout nom journaliste,4519,,,,,
717938,Braveheidi,15890354,212681567,212681539,0,Salon international de l'automobile de Genève 2024,2024-02-21T21:19:42Z,,/* Exposants */ oups,4498,,,,,
717938,Braveheidi,15890354,212681539,212663566,0,Salon international de l'automobile de Genève 2024,2024-02-21T21:18:39Z,,/* Exposants */ ajout info sourcée,4498,,,,,
717938,Braveheidi,4683645,212681303,212681207,4,Wikipédia:Requête aux administrateurs,2024-02-21T21:09:55Z,,j'avais oublié de mettre un titre à la RA,339974,,,,,
717938,Braveheidi,4683645,212681207,212679693,4,Wikipédia:Requête aux administrateurs,2024-02-21T21:06:26Z,,,339948,,,,,
717938,Braveheidi,16155094,212680945,212673032,3,Discussion utilisateur:Broken beyond repair,2024-02-21T20:55:50Z,,/* Please remove a comment */ Réponse,1032,,,,,
717938,Braveheidi,14079592,212680268,212247284,3,Discussion utilisatrice:.Anja.,2024-02-21T20:25:44Z,,/* Contestation */ nouvelle section,118379,,,,,
717938,Braveheidi,16057630,212679951,212530768,4,Wikipédia:Contestation du statut d'administrateur/.Anja.,2024-02-21T20:21:45Z,,/* {{u|.Anja.|admin=oui}} */ contestation,18129,,,,,
717938,Braveheidi,16155092,212673635,212673480,2,Utilisateur:Ahmedraji92,2024-02-21T16:32:09Z,,Votre page utilisateur ne peut être utilisée pour faire votre promotion personnelle.,0,,,,,
717938,Braveheidi,4880627,212673403,212669736,0,"Bondage et discipline, domination et soumission, sado-masochisme",2024-02-21T16:23:47Z,,"Annulation de la [[Special:Diff/212669736|modification]] de [[Special:Contributions/Firleiouwka|Firleiouwka]] ([[User talk:Firleiouwka|d]]) Quand dew secrions entieres ont O source, l'aeticle a ...un problème de sources!",64520,,,,,
717938,Braveheidi,16155105,212673140,212673061,2,Utilisateur:Pharellstoneparis,2024-02-21T16:14:02Z,,"Wikipédia n'est pas une plateforme publicitaire, ni pour vous, ni pour votre entreprise.",13,,,,,
717938,Braveheidi,16155077,212673065,212672753,3,Discussion utilisateur:Pharellstoneparis,2024-02-21T16:11:15Z,,/* Wikipédia n'est pas une plateforme publicitaire */ nouvelle section,2050,,,,,
717938,Braveheidi,16155094,212672932,0,3,Discussion utilisateur:Broken beyond repair,2024-02-21T16:06:23Z,,/* Please remove a comment */ nouvelle section,376,,,,,
717938,Braveheidi,15261822,212667181,210734257,0,Obésité féline,2024-02-21T12:36:28Z,,/* Facteurs de risque */Erreur probable,27139,,,,,
717938,Braveheidi,15890354,212663566,212663358,0,Salon international de l'automobile de Genève 2024,2024-02-21T09:44:33Z,,"/* Nouveautés */Absence d'intérêt encyclopédique pour cette annonce. Plus bas, Renault est cité parmi les exposants.",4082,,,,,
